recordType,recordId,workerId,workerName,periodStart,periodEnd,projectNumber,projectName,date,vendor,category,activitySummary,currency,amountMinor,actualMinutes,approvedMinutes,pendingMinutes,approvalState,paymentStatus,expectedPaymentOn,settledAt,expectedReimbursementOn,reimbursedAt
compensation_summary,synthetic-worker-a:2026-08-01:2026-08-31,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,,,,,,,USD,1152000,,17280,0,complete,estimated_approved,,,,
pending_compensation,synthetic-worker-a:2026-08-01:2026-08-31:pending,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,,,,,,,USD,0,,17280,0,pending,estimated_pending,,,,
time_activity,synthetic-time-1,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #1",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-2,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #2",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-3,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #3",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-4,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #4",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-5,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #5",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-6,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #6",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-7,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #7",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-8,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #8",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-9,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #9",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-10,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #10",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-11,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #11",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-12,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #12",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-13,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #13",USD,32000,480,,,approved,,,,,
time_activity,synthetic-time-14,synthetic-worker-a,Synthetic Worker A,2026-08-01,2026-08-31,SYN-C-0001-P-001,Synthetic commissioning validation,2026-08-12,,regular,"Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover. Synthetic commissioning record with accented text: verificación, proteção, segurança, rollback, interlock and documented operator handover.  #14",USD,32000,480,,,approved,,,,,
